,Date,Open,Close,Low,High,Volume
0,2014-12-19,105.51000213623047,104.52999877929688,104.05000305175781,105.58999633789062,2480700
1,2014-12-22,104.45999908447266,105.19999694824219,104.33999633789062,105.30999755859375,1088700
2,2014-12-23,105.68000030517578,104.30999755859375,103.91999816894531,105.7300033569336,803200
3,2014-12-24,104.56999969482422,104.2300033569336,104.20999908447266,104.8499984741211,456600
4,2014-12-26,104.3499984741211,104.0,103.93000030517578,104.77999877929688,587500
5,2014-12-29,103.62000274658203,104.12000274658203,103.11000061035156,104.33999633789062,772000
6,2014-12-30,103.88999938964844,104.3499984741211,103.77999877929688,104.83000183105469,602700
7,2014-12-31,104.4800033569336,102.91000366210938,102.87000274658203,105.36000061035156,701200
8,2015-01-02,103.63999938964844,102.83000183105469,102.0999984741211,104.52999877929688,720600
9,2015-01-05,102.26000213623047,101.05999755859375,100.66999816894531,102.43000030517578,1455000
10,2015-01-06,101.7699966430664,101.45999908447266,100.86000061035156,102.55999755859375,2241400
11,2015-01-07,103.72000122070312,103.83999633789062,103.0999984741211,104.51000213623047,1781700
12,2015-01-08,105.0999984741211,109.12999725341797,105.0,109.23999786376953,2307000
13,2015-01-09,109.04000091552734,108.0,107.81999969482422,109.16000366210938,1315600
14,2015-01-12,108.55000305175781,106.18000030517578,105.58000183105469,108.55000305175781,1772300
15,2015-01-13,107.30000305175781,106.83000183105469,105.86000061035156,109.0999984741211,1070000
16,2015-01-14,105.63999938964844,107.44000244140625,105.2699966430664,108.33000183105469,1762800
17,2015-01-15,107.56999969482422,106.86000061035156,106.11000061035156,107.94000244140625,1133900
18,2015-01-16,106.83000183105469,107.88999938964844,105.83999633789062,107.97000122070312,1451300
19,2015-01-20,108.37000274658203,108.45999908447266,107.27999877929688,109.23999786376953,1170900
20,2015-01-21,108.48999786376953,110.12999725341797,108.0199966430664,110.72000122070312,1821000
21,2015-01-22,110.9000015258789,112.18000030517578,109.8499984741211,112.18000030517578,1664800
22,2015-01-23,112.19000244140625,109.97000122070312,109.88999938964844,112.94999694824219,1229300
23,2015-01-26,109.73999786376953,109.41000366210938,108.54000091552734,109.75,1308600
24,2015-01-27,108.75,108.83000183105469,108.19000244140625,109.44000244140625,820700
25,2015-01-28,110.08999633789062,108.69999694824219,108.54000091552734,110.19000244140625,2040500
26,2015-01-29,108.66999816894531,109.62000274658203,107.83999633789062,109.86000061035156,1354800
27,2015-01-30,108.66999816894531,106.83000183105469,106.62999725341797,109.47000122070312,1570800
28,2015-02-02,107.08000183105469,107.87999725341797,105.2300033569336,107.88999938964844,1431200
29,2015-02-03,107.88999938964844,108.69999694824219,107.68000030517578,109.08999633789062,1395700
30,2015-02-04,108.33999633789062,110.0999984741211,107.63999938964844,110.83000183105469,1768500
31,2015-02-05,111.30000305175781,112.22000122070312,111.25,113.38999938964844,2060900
32,2015-02-06,112.0999984741211,111.69999694824219,111.22000122070312,112.79000091552734,1355300
33,2015-02-09,111.4800033569336,111.0199966430664,110.76000213623047,112.05000305175781,1392000
34,2015-02-10,111.7699966430664,113.69999694824219,111.7300033569336,113.93000030517578,1152100
35,2015-02-11,113.43000030517578,115.06999969482422,113.43000030517578,115.2699966430664,1421900
36,2015-02-12,115.88999938964844,114.9800033569336,114.20999908447266,116.0,1080200
37,2015-02-13,114.7300033569336,114.47000122070312,113.62999725341797,114.7300033569336,1103200
38,2015-02-17,114.26000213623047,115.4800033569336,113.25,115.5,1316800
39,2015-02-18,115.30000305175781,116.01000213623047,114.6500015258789,116.12000274658203,1016200
40,2015-02-19,115.58000183105469,116.19000244140625,115.30000305175781,116.91999816894531,795600
41,2015-02-20,116.38999938964844,118.54000091552734,116.06999969482422,118.61000061035156,1591600
42,2015-02-23,118.87000274658203,121.38999938964844,118.87000274658203,121.5,2298300
43,2015-02-24,121.37000274658203,120.76000213623047,120.69999694824219,122.0,1505100
44,2015-02-25,121.0,121.18000030517578,120.30999755859375,121.47000122070312,1438100
45,2015-02-26,120.81999969482422,121.58999633789062,120.80999755859375,121.88999938964844,1523900
46,2015-02-27,121.58000183105469,121.62999725341797,121.58000183105469,122.41999816894531,1557300
47,2015-03-02,121.41999816894531,122.4800033569336,121.0199966430664,123.0,2077500
48,2015-03-03,122.20999908447266,121.11000061035156,120.16999816894531,122.44999694824219,2265500
49,2015-03-04,119.25,121.86000061035156,118.69999694824219,122.3499984741211,2901700
50,2015-03-05,121.86000061035156,122.51000213623047,121.66999816894531,123.0,1605300
51,2015-03-06,122.0199966430664,120.56999969482422,119.81999969482422,122.08999633789062,2516800
52,2015-03-09,120.63999938964844,122.01000213623047,120.33999633789062,122.29000091552734,1617200
53,2015-03-10,120.91999816894531,119.80999755859375,119.80999755859375,121.02999877929688,1033800
54,2015-03-11,120.69999694824219,120.44999694824219,119.94000244140625,121.13999938964844,1293300
55,2015-03-12,121.0199966430664,122.75,121.0199966430664,122.87000274658203,1051800
56,2015-03-13,122.2300033569336,122.88999938964844,121.29000091552734,123.19999694824219,1028800
57,2015-03-16,123.29000091552734,125.01000213623047,123.01000213623047,126.26000213623047,1844400
58,2015-03-17,124.62000274658203,124.8499984741211,123.7699966430664,125.16999816894531,1263000
59,2015-03-18,125.0,127.48999786376953,124.5999984741211,128.0,1560000
60,2015-03-19,127.4800033569336,128.10000610351562,127.05000305175781,128.86000061035156,1290200
61,2015-03-20,129.22000122070312,128.3800048828125,127.94999694824219,129.30999755859375,2025700
62,2015-03-23,128.3800048828125,128.4199981689453,128.2100067138672,129.42999267578125,1616100
63,2015-03-24,128.52000427246094,129.57000732421875,128.32000732421875,130.02000427246094,1974200
